bugid,cid 1,cid 2,cid 3,cid 4,cid 5,cid 6,cid 7,cid 8,cid 9,cid 10,cid 11,cid 12
Math-70,6 / 2
Math-34,2 / 0
Math-5,10 / 0,0 / 3
Math-22,4 / 0
Time-19,2 / 1
Lang-57,7 / 1
Closure-126,7 / 6
Closure-14,2 / 0
Chart-20,5 / 0
Chart-8,2 / 0
Chart-1,7 / 26
Chart-24,5 / 0
Chart-9,5 / 5,0 / 1
Chart-11,2 / 0
Math-59,1 / 1
Math-82,7 / 17
Math-33,4 / 3
Math-50,11 / 10,0 / 1
Lang-6,2 / 1
Lang-59,2 / 0,0 / 1,0 / 2,0 / 15,0 / 1,0 / 2,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1
Math-58,5 / 3
Math-85,7 / 26,0 / 3,0 / 4,0 / 1,0 / 1,0 / 1
Math-30,2 / 1
Math-57,1 / 2
Math-75,3 / 0
Time-4,1 / 9
Time-15,4 / 0
Lang-33,7 / 0
Lang-26,3 / 0
Lang-43,7 / 4
Lang-38,4 / 0
Lang-24,5 / 1
Math-53,7 / 0,2 / 2,0 / 1,0 / 2
Math-80,4 / 42
Math-63,2 / 14
Math-65,1 / 0
Lang-10,3 / 2
Lang-7,6 / 12,0 / 1
Lang-22,1 / 7
Chart-26,7 / 10
Chart-4,4 / 0
Math-2,0 / 19,0 / 1
Lang-51,8 / 10
Chart-14,3 / 0,0 / 1
Chart-19,3 / 0,0 / 2
Math-93,1 / 1
Math-35,4 / 0,1 / 0
Math-99,2 / 0
Math-4,2 / 0
Math-90,2 / 0
Math-89,4 / 0
Math-3,2 / 0
Math-61,1 / 0,1 / 0
Math-25,3 / 0
Lang-35,1 / 0,2 / 0
Math-41,3 / 0,0 / 1,0 / 1
Lang-21,1 / 0,0 / 1
Chart-5,1 / 0,1 / 0,0 / 9,0 / 1,0 / 1
Lang-44,1 / 5
Lang-55,1 / 0,1 / 0,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,1 / 0
Lang-58,3 / 8
Closure-70,2 / 0
Closure-31,2 / 2
Closure-63
Closure-18,3 / 5
Closure-33,1 / 2
Closure-73,7 / 0
Closure-62,4 / 3
Math-32,1 / 0,0 / 1,0 / 4
Lang-45,2 / 2,0 / 2,0 / 1
Math-73,1 / 7,0 / 1
Closure-86,2 / 4
Chart-12,3 / 10,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1
Chart-3,2 / 2,0 / 1,0 / 1,0 / 1
Math-98,3 / 0
Lang-20,1 / 4
Closure-115,11 / 5
Closure-57,2 / 0
Chart-7,3 / 7
Math-79,0 / 1,2 / 0
Math-71,2 / 1
Time-7,3 / 0
Lang-41,1 / 1
Lang-27,1 / 7
Lang-60,2 / 0,0 / 2
Lang-16,1 / 5
Lang-50,1 / 4,0 / 3,0 / 1
Lang-39,3 / 5,0 / 1
Chart-13,0 / 15,0 / 3
Chart-17,0 / 1,0 / 2
Math-20,0 / 13
Math-104,0 / 1,0 / 1
Time-11,0 / 9,0 / 1,0 / 1
Chart-25,0 / 1,0 / 5,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 3
Math-81,0 / 20
Math-28,0 / 23
Math-49,0 / 9,0 / 1,0 / 1,0 / 2,0 / 1,0 / 1
Math-97,0 / 5
Math-8,0 / 15
Lang-61,0 / 1,0 / 2,0 / 1,0 / 2
Chart-15,0 / 7,0 / 1
Closure-92,0 / 10
Closure-93
Closure-38,3 / 4
Math-31,0 / 8
Math-74,0 / 2
Math-68,0 / 2
Math-6,0 / 5
Math-56,0 / 1,0 / 1,0 / 2
Math-60,0 / 1
Time-14,0 / 2
Lang-63,0 / 16
Math-88,0 / 8
Closure-75
Closure-3
Closure-133,0 / 1
Closure-10,1 / 0
Closure-124
Closure-119
Closure-2,3 / 2
Closure-22,1 / 10
Closure-55
Closure-12,0 / 1
Closure-67
Closure-129,0 / 2
Closure-114
Closure-130
Closure-8
Closure-121
Closure-7
Closure-45,0 / 1
Closure-61
Closure-26
Closure-120
Closure-1
Closure-127
Closure-21,2 / 10
Closure-66,0 / 1
Math-42,0 / 3
Math-69,0 / 1
Math-78,0 / 2
Math-40,0 / 3,0 / 1
Math-7,0 / 2
Math-105,0 / 1,0 / 1
Lang-53,0 / 2
Closure-59,0 / 3
Math-84,0 / 8
Closure-46,1 / 3
Math-62,0 / 2
Time-17,0 / 2
Lang-47
Lang-46,2 / 0
Closure-68,1 / 0
Closure-112
Closure-78,3 / 0
Closure-125,0 / 2
Chart-18,0 / 1
Closure-109,0 / 2
Closure-107,0 / 4
Math-15,0 / 2
Lang-13,0 / 2
Closure-19,1 / 2
Math-43
Closure-108,0 / 2
Math-52,0 / 2
Closure-11,1 / 1
Closure-4,1 / 0
Math-77,0 / 1
Mockito-29,3 / 0
Mockito-38,2 / 0
Closure-88
